sample,caste,tissue,study,species
SRR1798739_virgin_queen_4,queen,brain,manfredini,amel
SRR1798741_virgin_queen_1,queen,brain,manfredini,amel
SRR1798740_virgin_queen_3,queen,brain,manfredini,amel
SRR1798742_virgin_queen_2,queen,brain,manfredini,amel
