sample,caste,tissue,study,species
SRR8085426_worker_brain,worker,brain,porath,bter
SRR8085427_worker_brain,worker,brain,porath,bter
SRR8085428_worker_brain,worker,brain,porath,bter
SRR8085429_worker_brain,worker,brain,porath,bter
SRR8085430_worker_brain,worker,brain,porath,bter
SRR8085431_worker_brain,worker,brain,porath,bter
SRR8085432_worker_brain,worker,brain,porath,bter
SRR8330353_worker_brain,worker,brain,porath,bter
