sample,caste,tissue,study,species
SRR8632761_mock_insemination_queen_1,queen,brain,liberti,amel
SRR8632763_mock_insemination_queen_3,queen,brain,liberti,amel
SRR8632762_mock_insemination_queen_2,queen,brain,liberti,amel
