sample,caste,tissue,study,species
SRR7007000_sugar_exposed_worker_1,worker,brain,christen,amel
SRR7006997_sugar_exposed_worker_2,worker,brain,christen,amel
SRR7006998_sugar_exposed_worker_3,worker,brain,christen,amel
SRR7007006_sugar_exposed_worker_4,worker,brain,christen,amel
SRR7007007_sugar_exposed_worker_5,worker,brain,christen,amel
